"Strain","Plasmid","Replicate","RBS","Promoter","Media","well","time","OD600","row","column"
"E.coli EW11","SKS45",3,"k2.3","P150","M9C","C2",1715.219,0.1257,"C",2
"E.coli EW11","SKS46",3,"k0.75","P150","M9C","C3",1715.219,0.1995,"C",3
"E.coli EW11","SKS47",3,"k8.5","P-tet","M9C","C4",1715.219,0.2003,"C",4
"E.coli EW11","SKS48",3,"k2.3","P-tet","M9C","C5",1715.219,0.1727,"C",5
"E.coli EW11","SKS49",3,"k0.75","P-tet","M9C","C6",1715.219,0.2436,"C",6
"E.coli EW11","SKS50",3,"k8.5","P150","M9C","C7",1715.219,0.2194,"C",7
"E.coli EW11","SKS51",3,"k2.3","P150","M9C","C8",1715.219,0.1605,"C",8
"E.coli EW11","SKS52",3,"k0.75","P150","M9C","C9",1715.219,0.1334,"C",9
"E.coli EW11","SKS54",3,"k2.3","P-tet","M9C","C10",1715.219,0.2089,"C",10
"E.coli EW11","SKS55",3,"k0.75","P-tet","M9C","C11",1715.219,0.1352,"C",11
"","",NA,"","","","C12",1715.219,NA,"C",12
"","",NA,"","","","D1",1715.219,NA,"D",1
"","",NA,"","","","D2",1715.219,NA,"D",2
"","",NA,"","","","D3",1715.219,NA,"D",3
"","",NA,"","","","D4",1715.219,NA,"D",4
"","",NA,"","","","D5",1715.219,NA,"D",5
"","",NA,"","","","D6",1715.219,NA,"D",6
"","",NA,"","","","D7",1715.219,NA,"D",7
"","",NA,"","","","D8",1715.219,NA,"D",8
"","",NA,"","","","D9",1715.219,NA,"D",9
"","",NA,"","","","D10",1715.219,NA,"D",10
"","",NA,"","","","D11",1715.219,NA,"D",11
"","",NA,"","","","D12",1715.219,NA,"D",12
"","",NA,"","","","E1",1715.219,NA,"E",1
"","",NA,"","","","E2",1715.219,NA,"E",2
"","",NA,"","","","E3",1715.219,NA,"E",3
"","",NA,"","","","E4",1715.219,NA,"E",4
"","",NA,"","","","E5",1715.219,NA,"E",5
"","",NA,"","","","E6",1715.219,NA,"E",6
"","",NA,"","","","E7",1715.219,NA,"E",7
"","",NA,"","","","E8",1715.219,NA,"E",8
"","",NA,"","","","E9",1715.219,NA,"E",9
"","",NA,"","","","E10",1715.219,NA,"E",10
"","",NA,"","","","E11",1715.219,NA,"E",11
"","",NA,"","","","E12",1715.219,NA,"E",12
"","",NA,"","","","F1",1715.219,NA,"F",1
"E.coli EW11","SKS45",1,"k2.3","P150","M9sa","F2",1715.219,0.1691,"F",2
"E.coli EW11","SKS46",1,"k0.75","P150","M9sa","F3",1715.219,0.1954,"F",3
"E.coli EW11","SKS47",1,"k8.5","P-tet","M9sa","F4",1715.219,0.1145,"F",4
"E.coli EW11","SKS48",1,"k2.3","P-tet","M9sa","F5",1715.219,0.159,"F",5
"E.coli EW11","SKS49",1,"k0.75","P-tet","M9sa","F6",1715.219,0.1667,"F",6
"E.coli EW11","SKS50",1,"k8.5","P150","M9sa","F7",1715.219,0.1914,"F",7
"E.coli EW11","SKS51",1,"k2.3","P150","M9sa","F8",1715.219,0.2246,"F",8
"E.coli EW11","SKS52",1,"k0.75","P150","M9sa","F9",1715.219,0.2986,"F",9
